Rank,ShirtNumber,Name,Team,Spikes,Faults,Shots,Total attempts,Success %
1,12,Bruno Lima,ARG,177,50,98,325,54.46
2,10,Amir Ghafour,IRI,214,59,120,393,54.45
3,18,Ricardo Lucarelli Souza,BRA,173,54,91,318,54.4
4,10,Sharone Vernon-Evans,CAN,130,32,82,244,53.28
5,14,Yuki Ishikawa,JPN,170,40,112,322,52.8
6,15,Victor Poletaev,RUS,158,51,94,303,52.15
7,20,Gabriele Nelli,ITA,135,36,88,259,52.12
8,19,Tsvetan Sokolov,BUL,141,53,77,271,52.03
9,9,Yoandy Leal Hidalgo,BRA,161,58,99,318,50.63
10,11,Yuji Nishida,JPN,183,69,114,366,50
11,7,Stephen Timothy Maar,CAN,136,47,94,277,49.1
12,4,Jean Patry,FRA,148,66,91,305,48.52
13,7,Facundo Conte,ARG,138,49,101,288,47.92
14,13,Simon Hirsch,GER,170,55,131,356,47.75
15,18,Lincoln Alexander Williams,AUS,156,68,103,327,47.71
16,1,Christian Fromm,GER,133,40,108,281,47.33
17,8,Wallace De Souza,BRA,152,71,110,333,45.65
18,2,Milad Ebadipour Ghara H.,IRI,141,39,129,309,45.63
